Date_ conv,XOM,SP500
19910103,0.005805531545321,-0.014004794262097
19910104,0.010079278994703,-0.00283088024053
19910107,-0.012977831748714,-0.017472633560644
19910108,-0.002906978791309,-0.001713361462393
19910109,-0.016141216179385,-0.010887893123507
19910110,0.008836581800498,0.009712226114887
19910111,-0.008836581800498,0.002223070021233
19910114,0.001478196869311,-0.008730062455147
19910115,-0.001478196869311,0.003960274729828
19910116,-0.002962965130657,0.007747300219682
19910117,0.022011160101352,0.036642097172521
19910118,0.014409471220152,0.012905359359232
19910121,-0.007178781727006,-0.003527872313689
19910122,-0.007230689493146,-0.008341343843195
19910123,0.021537085144384,0.005770531714585
19910124,0,0.013744783971064
19910125,0.012703064256254,0.003845871923689
19910128,-0.002808990611055,-0.000119029906405
19910129,-0.009894073645198,-0.000565585619435
19910130,-0.004270469123452,0.014983656756875
19910131,-0.00285714480078,0.00881963546554
19910201,-0.02169282461126,-0.002561939157837
19910204,0.014514042884254,0.015302805166739
19910205,0.001439885057988,0.008347675689951
19910206,0.043638169260004,0.019201808019727
19910207,0.016393809775676,-0.0043381587508
19910208,-0.012270092591814,0.007906504651936
19910211,0.025729245965819,0.025360940489439
19910212,-0.020257276087826,-0.008391505214058
19910213,0.024259949877483,0.009584563923903
19910214,-0.017461827163662,-0.013092762446062
19910215,-0.006798122713821,0.013201151780658
19910219,0.001363326727864,0.000893764024558
19910220,0.002721090114361,-0.011572154787525
19910221,0.004067802219326,-0.000465683261624
19910222,-0.001354096347729,0.00186143329322
19910225,0.001354096347729,0.004393452374074
19910226,-0.001354096347729,-0.012190762834106
19910227,0.035932009226063,0.013496885468768
19910228,-0.010512580389087,-0.001823601164043
19910301,0.010512580389087,0.009219904236188
19910304,-0.01980262729618,-0.003081916470207
19910305,0.003992021269537,0.019811652607666
19910306,0,-0.001461037064743
19910307,0.006618157842478,-0.000691415834373
19910308,0.002635047638005,-0.002557069288785
19910311,0.00262812240627,-0.005321508459951
19910312,0.01303799433813,-0.00788709185499
19910313,0.017972242404431,0.012194617946069
19910314,-0.005102051883895,-0.002860696805654
19910315,0.002554279805096,0.000240934828295
19910318,-0.01283714676068,-0.0039694299136
19910319,0,-0.014945452140857
19910320,0.01283714676068,0.003621465884959
19910321,0.002547772078799,-0.003648744687967
19910322,0.010126668817929,0.002452116859565
19910325,0.021184592868277,0.006374545191705
19910326,0.00737104074459,0.017343257004421
19910327,-0.019778147791644,-0.002527773580381
19910328,0.002493766878402,-0.000346403403547
19910401,-0.017588393100887,-0.010502159432431
19910402,0.023795737675221,0.021844235652651
19910403,-0.01747859727396,-0.001476715631469
19910404,-0.006317140401261,0.00218792511263
19910405,-0.002538072428471,-0.011680240851735
19910408,0.005069719350251,0.008753139359092
19910409,-0.011443227222343,-0.013560070582686
19910410,0.002554279805096,-0.001098150664121
19910411,0.018951925415867,0.011934396690575
19910412,0.025943394492024,0.007308450403264
19910415,-0.003665245398296,0.002074607816138
19910416,0.009744291474678,0.016727539785229
19910417,0,0.007274441836082
19910418,-0.003642991278501,-0.005109715704697
19910419,0.003642991278501,-0.01102695406953
19910422,0,-0.008495117415438
19910423,0.013245226750021,0.002124005990533
19910424,0,0.002616022001511
19910425,-0.030360558969289,-0.009212542682421
19910426,0.00737104074459,-0.000606644089978
19910429,-0.00737104074459,-0.014242681106972
19910430,0.00737104074459,0.004485988831434
19910501,0.014581060275292,0.013101837695128
19910502,-0.013357818532548,0.000604618780002
19910503,-0.006131227054937,0.000735564578955
19910506,-0.006169051026715,-0.001892546038545
19910507,-0.009950330853168,-0.007288123097013
19910508,0.011187189390565,0.003148858826108
19910509,0.023214237326768,0.012445025144164
